objectid,title,displaydate,attribution,classification,iiifthumburl
119337,Self-Portrait with Kodak,1913,Ilse Bing,Photograph,"https://api.nga.gov/iiif/51221aad-3238-45d4-8720-49ce13aaa2db/full/!500,500/0/default.jpg"
119338,Self-Portrait with Kodak,1913,Ilse Bing,Photograph,"https://api.nga.gov/iiif/06a08b5e-9e44-437c-9b0f-4643f015e156/full/!500,500/0/default.jpg"
214204,"Die Reklame, Frankfurt (Advertisements, Frankfurt)",1929,Ilse Bing,Photograph,"https://api.nga.gov/iiif/f852f9cc-942a-4c6c-a87f-d8baac087d06/full/!500,500/0/default.jpg"
106473,"""It Was So Windy in the Eiffel Tower,"" Paris",1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/c0bbd10b-028c-4896-b2d2-0f260a7d4990/full/!500,500/0/default.jpg"
106474,"Pont des Arts, Paris",1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/65bc7028-58c6-486f-9e9e-72d263bf9448/full/!500,500/0/default.jpg"
106475,"Eiffel Tower, Paris",1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/d026095d-6dab-45d1-9915-925ccd08c4fa/full/!500,500/0/default.jpg"
119383,"Bicycle Races, Frankfurt, Germany",1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ef8918e2-2661-4b4a-891f-b30e5bdfe431/full/!500,500/0/default.jpg"
119431,Poverty in Paris,1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/d4c0ed6e-ab8d-47c7-9361-7a000e33123f/full/!500,500/0/default.jpg"
119433,Poverty in Paris,1931,Ilse Bing,Photograph,"https://api.nga.gov/iiif/7e993b7c-15f5-41c9-afda-aa7791151e21/full/!500,500/0/default.jpg"
119443,Carousel,1932,Ilse Bing,Photograph,"https://api.nga.gov/iiif/4282b659-7847-4b92-b44b-70c7e816a48c/full/!500,500/0/default.jpg"
201417,"Île Saint-Louis, Paris",1932,Ilse Bing,Photograph,"https://api.nga.gov/iiif/74656869-17fd-41ea-a695-84d893824f12/full/!500,500/0/default.jpg"
119457,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/33bc732d-2022-4ca0-b662-70eea70ebae8/full/!500,500/0/default.jpg"
119448,"Fashion, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/9544f9d1-d3cc-4b1b-9a0b-ac35cb3fa4cc/full/!500,500/0/default.jpg"
119450,"Shell on Hand, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/16183d12-1fbd-4786-94ce-c7dd2e5042c8/full/!500,500/0/default.jpg"
119451,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/af53a6a1-70ca-4303-b675-e2e8367c4cce/full/!500,500/0/default.jpg"
119452,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/092d61ee-e13e-4594-8538-7befdf4686a8/full/!500,500/0/default.jpg"
119453,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/d3d7b7a7-5e2e-4f48-9794-d6598e5c362d/full/!500,500/0/default.jpg"
119454,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/7cabc433-7341-4ced-a3b1-c6ca6a6bd5d3/full/!500,500/0/default.jpg"
119455,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/05366628-3b05-4c98-96cf-2a65adcac00a/full/!500,500/0/default.jpg"
119456,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/1d343e40-affa-45bf-a917-0bbb3be6c974/full/!500,500/0/default.jpg"
119458,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/f7e839ca-17fb-48db-a019-8052c3256b8a/full/!500,500/0/default.jpg"
119459,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/0e2c646a-9e95-4661-812e-fa580bab5539/full/!500,500/0/default.jpg"
119460,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/e4ac30aa-0621-4237-b0ee-20c92214f3dc/full/!500,500/0/default.jpg"
119461,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/f9f6ab1e-7578-45cb-a22f-8d7c49adf878/full/!500,500/0/default.jpg"
119462,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/8c08353e-4eee-44b5-a519-a9a9581175f8/full/!500,500/0/default.jpg"
119463,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/f29e7db8-c0c1-402a-81b7-20c1d8f6b027/full/!500,500/0/default.jpg"
119464,"Street Fair, Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/50d10c25-c644-4625-8604-e96e437c810d/full/!500,500/0/default.jpg"
200417,"Ballet ""L'Errante"", Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/e7c9fc24-80cf-49aa-8ac6-75e245caed4f/full/!500,500/0/default.jpg"
213962,"Ballet ""L'Errante"", Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/94872de3-2082-4a37-b260-9599ffd54cc4/full/!500,500/0/default.jpg"
218909,"Ballet ""L'Errante"", Paris",1933,Ilse Bing,Photograph,"https://api.nga.gov/iiif/45b5c0e2-86fc-40cb-b275-7ef6a8bef992/full/!500,500/0/default.jpg"
